"Lead Shipment Number","Tracking Number","Account Number","Invoice Number","Invoice Date","Current Carrier Name","Current Normalized Service","Current Carrier Service","Proposed Carrier Name","Proposed Normalized Service","Ship Date",Zone,"Weight UOM","Actual Weight","Original Billed weight","Proposed Billed Weight","DIM UOM",Length,Width,Height,Volume,"Dim Factor","Container Type","From City","From State","From Zip","From Country","To City","To State","To Zip","To Country","Current Published Rate","Current Discount Percent","Current Discount ($)","Proposed Published Rate","Proposed Discount Percent","Proposed Discount ($)","Current Net Freight","Proposed Net Freight","Current Fuel Net Charge","Proposed Fuel Surcharge (%)","Proposed Fuel Amount","Proposed Fuel Discount Percent","Proposed Fuel Discount Amount","Proposed Fuel Net Charge","Fuel Difference($)","Current Other Net Accessorial","Proposed Other Net Accessorial","Accessorial Difference($)","Current Total Cost","Proposed Total Cost",Diff($)
,1Z2A921X0345755615,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-22,6,lb,14.00,18.00,15.00,in,30.00,9.00,9.00,"2,430.00",166.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,26.42,33.50,8.85,23.40,38.00,8.89,17.57,14.51,2.81,16.00,2.32,0.00,0.00,2.32,0.49,16.24,14.5,1.74,36.62,31.33,5.29
,1Z2A921X0346125802,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-22,6,lb,13.00,15.00,13.00,in,41.00,7.00,7.00,"2,009.00",166.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,23.33,33.48,7.81,20.95,38.00,7.96,15.52,12.99,2.48,16.00,2.08,0.00,0.00,2.08,0.4,13.08,11.6,1.48,31.08,26.67,4.41
,1Z2A921X0346182778,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-22,6,lb,38.00,38.00,38.00,in,0.00,0.00,0.00,0.00,166.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,47.68,38.51,18.36,47.68,42.00,20.03,29.32,27.65,4.69,16.00,4.42,0.00,0.00,4.42,0.27,77.83,72.5,5.33,111.84,104.57,7.27
,1Z2A921X0347395386,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-22,6,lb,34.00,36.00,34.00,in,61.00,9.00,9.00,"4,941.00",166.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,46.42,38.50,17.87,43.80,42.00,18.40,28.55,25.40,9.65,16.00,8.94,0.00,0.00,8.94,0.71,58.09,52.25,5.84,96.29,86.59,9.70
,1Z2A921X0347464391,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-02-22,6,lb,34.00,34.00,34.00,in,61.00,9.00,8.00,"4,392.00",166.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,43.80,38.49,16.86,43.80,42.00,18.40,26.94,25.40,9.39,16.00,4.06,0.00,0.00,4.06,5.33,57.99,52.25,5.74,62.57,51.21,11.36
,1Z2A921X0347478859,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-23,6,lb,40.00,40.00,40.00,in,22.00,13.00,13.00,"3,718.00",166.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,49.92,38.50,19.22,49.92,42.00,20.97,30.70,28.95,4.91,16.00,4.63,0.00,0.00,4.63,0.28,62.68,58,4.68,98.29,91.58,6.71
,1Z2A921X0347990661,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-23,6,lb,13.00,15.00,13.00,in,41.00,7.00,7.00,"2,009.00",166.00,PKG,CHADWICK,IL,61014,US,LINDON,UT,84042,US,23.33,33.48,7.81,20.95,38.00,7.96,15.52,12.99,2.48,16.00,2.08,0.00,0.00,2.08,0.4,13.08,11.6,1.48,31.08,26.67,4.41
,1Z2R0E660349019154,00003X914A,0000003X914A124,2024-03-23,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-03-22,3,lb,11.00,11.00,11.00,in,12.00,11.00,6.00,792.00,166.00,PKG,WATONGA,OK,"73772 4230",US,CANADIAN,TX,79014,US,15.64,31.59,4.94,15.70,38.00,5.97,10.70,10.70,3.91,15.75,3.91,0.00,0.00,3.91,0,15.59,14.15,1.44,30.20,28.76,1.44
,1Z2R0E660350447386,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-02-06,3,lb,4.00,6.00,5.00,in,12.00,11.00,6.00,792.00,166.00,PKG,WATONGA,OK,"73772 4230",US,CANADIAN,TX,79014,US,14.13,24.27,3.43,13.95,34.00,4.74,10.70,10.70,3.85,15.25,3.79,0.00,0.00,3.79,0.06,15.59,14.15,1.44,30.14,28.64,1.50
,1Z2R0E660351731174,00003X914A,0000003X914A134,2024-03-30,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-03-22,5,lb,11.00,20.00,17.00,in,16.00,13.00,13.00,"2,704.00",166.00,PKG,WATONGA,OK,"73772 4230",US,LINDON,UT,84042,US,24.06,34.79,8.37,21.39,38.00,8.13,15.69,13.26,2.47,15.75,2.09,0.00,0.00,2.09,0.38,0.91,0.00,0.91,19.07,15.35,3.72
,1Z2X40100398637647,00003X914A,0000003X914A054,2024-02-03,UPS,"Ground Resi(D)","GROUND RESIDENTIAL COLLECT",FedEx,Home(D),2024-01-26,5,lb,27.00,53.00,44.00,in,26.00,20.00,14.00,"7,280.00",166.00,PKG,TOMBALL,TX,77375,US,HUDSON,CO,80642,US,47.70,33.40,15.93,44.64,42.00,18.75,31.77,25.89,6.99,15.25,5.76,0.00,0.00,5.76,1.23,13.35,11.86,1.49,52.11,43.51,8.60
,1Z38E69R0314297746,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-01-31,5,lb,28.00,39.00,33.00,in,25.00,24.00,9.00,"5,400.00",166.00,PKG,WILLISTON,ND,58801,US,LINDON,UT,84042,US,34.27,28.33,9.71,34.27,42.00,14.39,24.56,19.88,3.74,15.25,3.03,0.00,0.00,3.03,0.71,0,0,0,28.30,22.91,5.39
,1Z3X914A0158293922,00003X914A,0000003X914A114,2024-03-16,UPS,"1Day AM(D)","NEXT DAY AIR RESIDENTIAL",FedEx,"1Day AM(D)",2024-03-11,107,lb,1.00,2.00,2.00,in,7.00,6.00,5.00,210.00,166.00,PKG,,,,,WHEELING,WV,26003,US,106.00,44.00,46.64,104.91,60.00,62.95,59.36,41.96,10.98,16.75,8.06,0.00,0.00,8.06,2.92,6.20,6.15,0.05,76.54,56.17,20.37
,1Z3X914A0159170991,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","SHIPPING CHARGE CORRECTION NEXT DAY AIR",FedEx,"1Day AM(D)",2024-02-08,108,lb,13.00,15.00,13.00,in,21.00,12.00,8.00,"2,016.00",166.00,PKG,,UT,,,MIAMI,FL,33122,US,233.81,42.68,99.78,233.81,60.00,140.29,134.03,93.52,22.79,17.00,15.90,0.00,0.00,15.9,6.89,0,0,0,156.82,109.42,47.40
,1Z3X914A0159569178,00003X914A,0000003X914A154,2024-04-13,UPS,"1Day AM(D)","SHIPPING CHARGE CORRECTION NEXT DAY AIR",FedEx,"1Day AM(D)",2024-04-09,106,lb,20.00,21.00,20.00,in,24.00,12.00,10.00,"2,880.00",166.00,PKG,LINDON,UT,840421677,US,BOERNE,TX,78006,US,237.96,40.32,95.94,237.96,60.00,142.78,142.02,95.18,24.08,16.50,16.36,0.00,0.00,16.36,7.72,7.8,7.8,0,170.05,115.49,54.56
,1Z3X914A0190228549,00003X914A,0000003X914A134,2024-03-30,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-26,104,lb,4.00,6.00,5.00,in,12.00,11.00,6.00,792.00,166.00,PKG,LINDON,UT,84042,US,FARMINGTON,NM,87401,US,119.59,49.50,59.20,105.27,60.00,63.16,60.39,42.11,10.27,17.00,7.16,0.00,0.00,7.16,3.11,0,0,0,70.66,49.27,21.39
,1Z3X914A0190282221,00003X914A,0000003X914A104,2024-03-09,UPS,"1Day AM(D)","SHIPPING CHARGE CORRECTION NEXT DAY AIR",FedEx,"1Day AM(D)",2024-03-07,105,lb,28.00,48.00,40.00,in,26.00,17.00,15.00,"6,630.00",166.00,PKG,VICTORIA,UT,77901,US,LOUISVILLE,KY,40241,US,375.15,34.90,130.92,375.15,60.00,225.09,244.23,150.06,41.52,17.00,25.51,0.00,0.00,25.51,16.01,0,0,0,285.75,175.57,110.18
,1Z3X914A0190686509,00003X914A,0000003X914A144,2024-04-06,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-04-03,106,lb,3.00,9.00,8.00,in,19.00,8.00,8.00,"1,216.00",166.00,PKG,LINDON,UT,84042,US,GARY,IN,46404,US,154.63,49.50,76.54,152.39,60.00,91.43,78.09,60.96,13.28,17.00,10.36,0.00,0.00,10.36,2.92,0,0,0,91.37,71.32,20.05
,1Z3X914A0190724584,00003X914A,0000003X914A084,2024-02-24,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-21,106,lb,82.00,115.00,96.00,in,54.00,21.00,14.00,"15,876.00",166.00,PKG,LINDON,UT,84042,US,KENEDY,TX,78119,US,794.73,31.17,247.69,794.73,60.00,476.84,547.04,317.89,104.46,17.50,64.36,0.00,0.00,64.36,40.1,49.9,49.9,0,701.40,432.15,269.25
,1Z3X914A0191356980,00003X914A,0000003X914A094,2024-03-02,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-26,104,lb,14.00,23.00,19.00,in,24.00,13.00,10.00,"3,120.00",166.00,PKG,VICTORIA,TX,77901,US,ODESSA,TX,79765,US,208.33,34.90,72.71,208.33,60.00,125.00,135.62,83.33,23.73,17.50,14.58,0.00,0.00,14.58,9.15,0,0,0,159.35,97.91,61.44
,1Z3X914A0191380739,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,104,lb,28.00,27.00,28.00,in,15.00,13.00,12.00,"2,340.00",166.00,PKG,LINDON,UT,84042,US,WINDSOR,CO,80550,US,280.90,45.20,126.96,280.90,60.00,168.54,153.94,112.36,26.17,17.00,19.10,0.00,0.00,19.1,7.07,0,0,0,180.11,131.46,48.65
,1Z3X914A0191666145,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,104,lb,28.00,26.00,28.00,in,15.00,13.00,12.00,"2,340.00",166.00,PKG,LINDON,UT,84042,US,WINDSOR,CO,80550,US,280.90,46.42,130.39,280.90,60.00,168.54,150.51,112.36,25.59,17.00,19.10,0.00,0.00,19.1,6.49,0,0,0,176.10,131.46,44.64
,1Z3X914A0191748333,00003X914A,0000003X914A054,2024-02-03,UPS,"1Day AM(D)","NEXT DAY AIR RESIDENTIAL",FedEx,"1Day AM(D)",2024-01-30,105,lb,18.00,18.00,18.00,in,49.00,6.00,6.00,"1,764.00",166.00,PKG,LINDON,UT,84042,US,WEATHERFORD,TX,76087,US,233.99,44.00,102.96,232.34,60.00,139.40,131.03,92.94,29.27,16.75,17.58,0.00,0.00,17.58,11.69,43.8,43.75,0.049999999999997,172.35,122.52,49.83
,1Z3X914A0192245517,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,106,lb,2.00,2.00,2.00,in,7.00,6.00,5.00,210.00,166.00,PKG,LINDON,UT,84042,US,"BATTLE CREEK",MI,49015,US,94.14,44.00,41.42,93.18,60.00,55.91,52.72,37.27,8.96,17.00,6.34,0.00,0.00,6.34,2.62,0,0,0,61.68,43.61,18.07
,1Z3X914A0192347701,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR RESIDENTIAL",FedEx,"1Day AM(D)",2024-02-06,107,lb,2.00,4.00,3.00,in,10.00,7.00,6.00,420.00,166.00,PKG,LINDON,UT,84042,US,MILLERSBURG,OH,44654,US,122.10,38.55,47.07,122.10,60.00,73.26,75.03,48.84,14.81,17.00,10.34,0.00,0.00,10.34,4.47,12.05,12,0.050000000000001,101.89,71.18,30.71
,1Z3X914A0192351992,00003X914A,0000003X914A084,2024-02-24,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-21,106,lb,86.00,129.00,108.00,in,54.00,22.00,15.00,"17,820.00",166.00,PKG,LINDON,UT,84042,US,KENEDY,TX,78119,US,908.28,32.44,294.64,908.28,60.00,544.97,613.64,363.31,116.12,17.50,72.31,0.00,0.00,72.31,43.81,49.9,49.9,0,779.66,485.52,294.14
,1Z3X914A0192508340,00003X914A,0000003X914A124,2024-03-23,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-20,105,lb,4.00,8.00,6.00,in,61.00,4.00,4.00,976.00,166.00,PKG,LINDON,UT,84042,US,CARLSBAD,NM,88220,US,147.13,49.50,72.83,133.63,60.00,80.18,74.30,53.45,18.42,16.75,14.93,0.00,0.00,14.93,3.49,35.7,35.7,0,128.42,104.08,24.34
,1Z3X914A0192595676,00003X914A,0000003X914A523,2023-12-30,UPS,"1Day AM(D)","NEXT DAY AIR RESIDENTIAL",FedEx,"1Day AM(D)",2023-12-27,105,lb,24.00,29.00,24.00,in,25.00,13.00,12.00,"3,900.00",166.00,PKG,LINDON,UT,84042,US,WATONGA,OK,73772,US,255.09,33.23,84.77,255.09,60.00,153.05,170.32,102.04,28.09,15.25,17.62,0.00,0.00,17.62,10.47,13.9,13.5,0.4,212.31,133.16,79.15
,1Z3X914A0192920359,00003X914A,0000003X914A054,2024-02-03,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-01-31,103,lb,10.00,21.00,18.00,in,24.00,12.00,10.00,"2,880.00",166.00,PKG,LINDON,UT,84042,US,DOUGLAS,WY,82633,US,114.38,40.45,46.27,114.38,60.00,68.63,68.11,45.75,12.23,16.75,8.48,0.00,0.00,8.48,3.75,4.90,4.90,0,85.24,59.13,26.11
,1Z3X914A0193128526,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,104,lb,28.00,27.00,28.00,in,15.00,13.00,12.00,"2,340.00",166.00,PKG,LINDON,UT,84042,US,WINDSOR,CO,80550,US,280.90,45.20,126.96,280.90,60.00,168.54,153.94,112.36,26.17,17.00,19.10,0.00,0.00,19.1,7.07,0,0,0,180.11,131.46,48.65
,1Z3X914A0193231959,00003X914A,0000003X914A044,2024-01-27,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-01-19,105,lb,8.00,7.00,8.00,in,10.00,7.00,5.00,350.00,166.00,PKG,LINDON,UT,84042,US,SEMINOLE,TX,79360,US,145.65,45.54,66.33,145.65,60.00,87.39,79.32,58.26,13.47,16.00,10.11,0.00,0.00,10.11,3.36,4.90,4.90,0,97.69,73.27,24.42
,1Z3X914A0193707016,00003X914A,0000003X914A104,2024-03-09,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-01,106,lb,5.00,10.00,9.00,in,19.00,9.00,8.00,"1,368.00",166.00,PKG,LINDON,UT,84042,US,SHREVEPORT,LA,71129,US,153.08,42.64,65.28,153.08,60.00,91.85,87.80,61.23,15.37,17.50,10.72,0.00,0.00,10.72,4.65,0,0,0,103.17,71.95,31.22
,1Z3X914A0193817666,00003X914A,0000003X914A094,2024-03-02,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-23,105,lb,2.00,5.00,4.00,in,11.00,10.00,6.00,660.00,166.00,PKG,LINDON,UT,84042,US,ODESSA,TX,79765,US,113.24,42.92,48.60,113.24,60.00,67.94,64.64,45.30,11.31,17.50,7.93,0.00,0.00,7.93,3.38,0,0,0,75.95,53.23,22.72
,1Z3X914A0194144122,00003X914A,0000003X914A054,2024-02-03,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-01-30,105,lb,3.00,5.00,4.00,in,11.00,10.00,6.00,660.00,166.00,PKG,LINDON,UT,84042,US,MIDLAND,TX,79707,US,113.24,42.92,48.60,113.24,60.00,67.94,64.64,45.30,10.82,16.75,7.59,0.00,0.00,7.59,3.23,0,0,0,75.46,52.89,22.57
,1Z3X914A0194170022,00003X914A,0000003X914A104,2024-03-09,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-01,104,lb,1.00,4.00,3.00,in,10.00,7.00,6.00,420.00,166.00,PKG,LINDON,UT,84042,US,"SAN FRANCISCO",CA,94124,US,92.17,36.71,33.84,92.17,60.00,55.30,58.33,36.87,10.21,17.50,6.45,0.00,0.00,6.45,3.76,0,0,0,68.54,43.32,25.22
,1Z3X914A0194331189,00003X914A,0000003X914A044,2024-01-27,UPS,"1Day AM(D)","SHIPPING CHARGE CORRECTION NEXT DAY AIR",FedEx,"1Day AM(D)",2024-01-25,102,lb,9.00,22.00,19.00,in,25.00,12.00,10.00,"3,000.00",166.00,PKG,LINDON,UT,84042,US,ALTAMONT,UT,84001,US,81.09,38.04,30.85,81.09,60.00,48.65,50.24,32.44,8.82,16.75,6.25,0.00,0.00,6.25,2.57,4.90,4.90,0,63.96,43.59,20.37
,1Z3X914A0194528753,00003X914A,0000003X914A064,2024-02-10,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-07,104,lb,28.00,27.00,28.00,in,15.00,13.00,12.00,"2,340.00",166.00,PKG,LINDON,UT,84042,US,WINDSOR,CO,80550,US,280.90,45.20,126.96,280.90,60.00,168.54,153.94,112.36,26.17,17.00,19.10,0.00,0.00,19.1,7.07,0,0,0,180.11,131.46,48.65
,1Z3X914A0194790111,00003X914A,0000003X914A084,2024-02-24,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-02-16,107,lb,40.00,61.00,51.00,in,25.00,24.00,14.00,"8,400.00",166.00,PKG,LINDON,UT,84042,US,RIVERVIEW,MI,48193,US,522.59,32.85,171.69,522.59,60.00,313.55,350.90,209.04,60.53,17.25,36.06,0.00,0.00,36.06,24.47,0,0,0,411.43,245.10,166.33
,1Z3X914A0195089306,00003X914A,0000003X914A134,2024-03-30,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-03-25,106,lb,28.00,28.00,28.00,in,24.00,12.00,12.00,"3,456.00",166.00,PKG,LINDON,UT,84042,US,DAYTON,TX,77535,US,315.61,49.50,156.23,312.83,60.00,187.70,159.38,125.13,27.77,17.00,21.94,0.00,0.00,21.94,5.83,3.95,3.95,0,191.10,151.02,40.08
,1Z3X914A0195174606,00003X914A,0000003X914A044,2024-01-27,UPS,"1Day AM(D)","NEXT DAY AIR COMMERCIAL",FedEx,"1Day AM(D)",2024-01-24,106,lb,2.00,5.00,4.00,in,11.00,10.00,6.00,660.00,166.00,PKG,LINDON,UT,84042,US,HOUSTON,TX,77032,US,119.65,44.00,52.65,117.36,60.00,70.42,67.00,46.94,10.72,16.75,7.86,0.00,0.00,7.86,2.86,0,0,0,77.72,54.80,22.92
