"Lead Shipment Number","Tracking Number","Account Number","Invoice Number","Invoice Date","Current Carrier Name","Current Normalized Service","Current Carrier Service","Proposed Carrier Name","Proposed Normalized Service","Ship Date",Zone,"Weight UOM","Actual Weight","Original Billed weight","Proposed Billed Weight","DIM UOM",Length,Width,Height,Volume,"Dim Factor","Container Type","From City","From State","From Zip","From Country","To City","To State","To Zip","To Country","Current Published Rate","Current Discount Percent","Current Discount ($)","Proposed Published Rate","Proposed Discount Percent","Proposed Discount ($)","Current Net Freight","Proposed Net Freight","Current Fuel Net Charge","Proposed Fuel Surcharge (%)","Proposed Fuel Amount","Proposed Fuel Discount Percent","Proposed Fuel Discount Amount","Proposed Fuel Net Charge","Fuel Difference($)","Current Other Net Accessorial","Proposed Other Net Accessorial","Accessorial Difference($)","Current Total Cost","Proposed Total Cost",Diff($)
,1Z0796650398356554,00003X914A,0000003X914A114,2024-03-16,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-03-07,8,lb,35.00,35.00,35.00,in,18.00,15.00,10.00,"2,700.00",166.00,PKG,SPRINGFIELD,NJ,07081,US,LINDON,UT,84042,US,61.95,38.51,23.86,61.95,42.00,26.02,38.09,35.93,6.00,15.75,5.66,0.00,0.00,5.66,0.34,0,0,0,44.09,41.59,2.50
,1Z0796650399265169,00003X914A,0000003X914A114,2024-03-16,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-03-07,8,lb,35.00,35.00,35.00,in,18.00,15.00,10.00,"2,700.00",166.00,PKG,SPRINGFIELD,NJ,07081,US,LINDON,UT,84042,US,61.95,38.51,23.86,61.95,42.00,26.02,38.09,35.93,6.00,15.75,5.66,0.00,0.00,5.66,0.34,0,0,0,44.09,41.59,2.50
,1Z09772W0314403901,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",166.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,38.00,10.37,21.86,16.91,3.39,15.25,2.58,0.00,0.00,2.58,0.81,0,0,0,25.25,19.49,5.76
,1Z09772W0314403938,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",166.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,38.00,10.37,21.86,16.91,3.39,15.25,2.58,0.00,0.00,2.58,0.81,0,0,0,25.25,19.49,5.76
,1Z09772W0314403947,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",166.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,38.00,10.37,21.86,16.91,3.39,15.25,2.58,0.00,0.00,2.58,0.81,0,0,0,25.25,19.49,5.76
,1Z09772W0314403956,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-02-07,7,lb,7.00,19.00,16.00,in,22.00,13.00,9.00,"2,574.00",166.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,24.34,10.19,2.48,24.34,38.00,9.25,21.86,15.09,3.39,15.25,2.30,0.00,0.00,2.3,1.09,0,0,0,25.25,17.39,7.86
,1Z09772W0314404115,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",166.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,38.00,10.37,21.86,16.91,3.39,15.25,2.58,0.00,0.00,2.58,0.81,0,0,0,25.25,19.49,5.76
,1Z11WF630302767994,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-02,4,lb,4.00,4.00,4.00,in,12.00,10.00,4.00,480.00,166.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,15.11,27.47,4.15,15.11,34.00,5.14,10.96,10.70,1.67,15.25,1.63,0.00,0.00,1.63,0.04,0,0,0,12.63,12.33,0.30
,1Z11WF630302830834,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-27,4,lb,38.00,38.00,38.00,in,20.00,12.00,12.00,"2,880.00",166.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,32.06,38.52,12.35,32.23,42.00,13.54,19.71,18.69,3.15,16.00,2.99,0.00,0.00,2.99,0.16,0,0,0,22.86,21.68,1.18
,1Z11WF630302830898,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-27,4,lb,41.00,43.00,41.00,in,25.00,18.00,13.00,"5,850.00",166.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,35.80,38.49,13.78,34.59,42.00,14.53,22.02,20.06,3.52,16.00,3.21,0.00,0.00,3.21,0.31,0,0,0,25.54,23.27,2.27
,1Z11WF630302830914,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-27,4,lb,39.00,39.00,39.00,in,20.00,12.00,12.00,"2,880.00",166.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,33.42,38.48,12.86,33.60,42.00,14.11,20.56,19.49,3.29,16.00,3.12,0.00,0.00,3.12,0.17,0,0,0,23.85,22.61,1.24
,1Z1E29E60395161895,00003X914A,0000003X914A054,2024-02-03,UPS,"Ground Comm(D)","GROUND COMMERCIAL THIRD PARTY",FedEx,"Ground Comm(D)",2024-01-25,8,lb,2.00,7.00,6.00,in,13.00,11.00,6.00,858.00,166.00,PKG,"GLEN BURNIE",MD,21061,US,LINDON,UT,84042,US,20.27,30.54,6.19,19.54,34.00,6.64,14.08,12.90,2.18,15.25,1.97,0.00,0.00,1.97,0.21,0.81,0.00,0.81,17.07,14.87,2.20
,1Z249V6A0313444462,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-02-01,5,lb,1.00,12.00,10.00,in,19.00,9.00,9.00,"1,539.00",166.00,PKG,CATOOSA,OK,74015,US,LINDON,UT,84042,US,18.55,32.45,6.02,18.55,34.00,6.31,12.53,12.24,1.91,15.25,1.87,0.00,0.00,1.87,0.04,0,0,0,14.44,14.11,0.33
